1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,appliance
53.05524,50.54694,50.6179,49.84818,53.71073,53.57438,52.25741,50.44798,50.72039,52.35846,Electric Fan
45.61459,50.05303,56.34612,47.98223,60.07307,74.31552,48.38774,60.16734,43.53225,54.54314,Laptop Charger
9.55644,10.61689,8.63953,10.30032,8.11257,6.21897,6.37951,6.74534,7.82874,9.63321,Desk Lamp
1.18529,1.39255,1.62356,0.30958,0.06529,0.38745,0.874,2.59868,0.29892,0.31313,Phone Charger
3.11138,0.40155,1.23643,1.22987,0.02889,0.74151,0.74151,1.5849,1.64835,0.33087,Monitor
52.58217,53.35414,53.18056,52.65575,53.3214,51.14999,50.89965,51.60031,52.6827,53.77339,Electric Fan
54.68164,46.54737,54.36976,43.80723,58.22694,43.87772,57.90913,44.92776,60.14707,43.0879,Laptop Charger
6.98501,7.108,6.2466,9.37487,5.17741,9.0659,8.46956,6.5792,4.17266,6.56566,Desk Lamp
1.34074,0.25973,0.3698,2.11106,0.28468,0.33441,0.73467,1.07157,0.80206,0.78924,Phone Charger
1.9175,1.13119,1.72405,1.63569,0.09432,0.99829,2.97503,1.42483,0.48577,2.53982,Monitor
53.4244,51.67754,51.43807,54.21864,54.35962,48.83161,52.60302,50.14244,51.00671,51.66758,Electric Fan
59.42343,44.98287,60.45924,42.46776,59.5114,50.71976,49.29029,55.5616,45.86296,55.80605,Laptop Charger
8.55473,10.28177,8.62744,7.34282,8.73598,6.56566,7.98372,6.4433,6.15894,6.19129,Desk Lamp
0.29319,0.19531,1.73977,0.03694,0.4638,0.97488,0.38392,2.06218,1.50193,0.04347,Phone Charger
